dist_code,dist_name,state_name,year,rainfall_jun,rainfall_jul,rainfall_aug,rainfall_sep,rainfall_kharif,rainfall_annual
19,Sidhi,Madhya Pradesh,2002,4.13,3.86,13.26,8.08,29.33,33.94
19,Sidhi,Madhya Pradesh,2003,3.93,6.15,11.43,17.56,39.06999999999999,44.15
19,Sidhi,Madhya Pradesh,2004,9.45,6.7,10.13,4.26,30.54,34.36
19,Sidhi,Madhya Pradesh,2005,4.8,20.16,8.72,6.8,40.48,44.83
19,Sidhi,Madhya Pradesh,2006,2.09,12.52,6.1,2.55,23.26,27.63
19,Sidhi,Madhya Pradesh,2007,3.43,7.74,6.84,5.69,23.7,28.26
19,Sidhi,Madhya Pradesh,2008,9.22,10.5,7.77,3.94,31.43,33.79
19,Sidhi,Madhya Pradesh,2009,1.67,6.1,4.52,4.94,17.23,25.4
19,Sidhi,Madhya Pradesh,2010,1.38,8.48,7.42,7.7,24.98,27.76
19,Sidhi,Madhya Pradesh,2011,10.25,9.02,9.28,7.98,36.53,39.17
19,Sidhi,Madhya Pradesh,2012,1.49,12.38,13.95,6.37,34.19,37.46
19,Sidhi,Madhya Pradesh,2013,10.27,10.63,14.3,3.97,39.17,50.51
19,Sidhi,Madhya Pradesh,2014,2.46,7.91,6.76,5.77,22.900000000000002,32.87
19,Sidhi,Madhya Pradesh,2015,4.47,11.38,9.55,3.78,29.180000000000003,35.65
19,Sidhi,Madhya Pradesh,2016,1.75,13.67,15.45,7.14,38.01,41.85
19,Sidhi,Madhya Pradesh,2017,3.94,15.01,5.81,2.96,27.72,29.11
19,Sidhi,Madhya Pradesh,2018,3.26,11.52,10.14,3.67,28.590000000000003,30.83
19,Sidhi,Madhya Pradesh,2019,1.96,8.34,10.54,10.72,31.560000000000002,35.75
20,Satna,Madhya Pradesh,1990,8.62,11.87,9.54,9.49,39.519999999999996,42.669999999999995
20,Satna,Madhya Pradesh,1991,4.7,8.83,12.29,2.39,28.21,28.61
20,Satna,Madhya Pradesh,1992,0.73,8.91,13.49,8.93,32.06,33.77
20,Satna,Madhya Pradesh,1993,3.56,4.13,5.47,17.37,30.53,32.44
20,Satna,Madhya Pradesh,1994,4.69,12.34,14.43,3.85,35.31,37.69
20,Satna,Madhya Pradesh,1995,2.13,7.65,9.07,3.96,22.810000000000002,26.37
20,Satna,Madhya Pradesh,1996,5.79,6.96,9.57,3.85,26.17,30.68
20,Satna,Madhya Pradesh,1997,2.43,12.06,11.21,7.27,32.97,41.28
20,Satna,Madhya Pradesh,1998,1.36,7.4,11.32,6.34,26.419999999999998,28.91
20,Satna,Madhya Pradesh,1999,2.4,12.75,7.13,5.52,27.8,29.79
20,Satna,Madhya Pradesh,2000,3.66,6.73,5.44,3.47,19.3,20.330000000000002
20,Satna,Madhya Pradesh,2001,7.24,19.61,7.2,1.28,35.330000000000005,40.67
20,Satna,Madhya Pradesh,2002,3.08,4.22,13.96,8.66,29.92,34.46
20,Satna,Madhya Pradesh,2003,3.4,6.07,11.9,19.14,40.510000000000005,44.88
20,Satna,Madhya Pradesh,2004,8.53,6.62,9.87,4.38,29.399999999999995,32.16
20,Satna,Madhya Pradesh,2005,4.26,23.25,8.26,6.55,42.31999999999999,45.43
20,Satna,Madhya Pradesh,2006,2.07,13.11,5.08,1.72,21.979999999999997,25.33
20,Satna,Madhya Pradesh,2007,3.01,6.37,6.66,3.57,19.61,23.96
20,Satna,Madhya Pradesh,2008,8.1,9.56,7.85,3.19,28.7,30.69
20,Satna,Madhya Pradesh,2009,1.67,5.66,2.69,5.86,15.879999999999999,24.64
20,Satna,Madhya Pradesh,2010,1.08,8.8,7.33,6.97,24.18,26.51
